Id;Label;Category
4399C;Travaux de maçonnerie générale et gros œuvre de bâtiment;F
4399D;Autres travaux spécialisés de construction;F
4399E;Location avec opérateur de matériel de construction;F
4511Z;Commerce de voitures et de véhicules automobiles légers;G
4519Z;Commerce d'autres véhicules automobiles;G
4520A;Entretien et réparation de véhicules automobiles légers;G
4520B;Entretien et réparation d'autres véhicules automobiles;G
4531Z;Commerce de gros d'équipements automobiles;G
4532Z;Commerce de détail d'équipements automobiles;G
4540Z;Commerce et réparation de motocycles;G
4611Z;Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis;G
4612A;Centrales d'achat de carburant;G
4612B;Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques;G
4613Z;Intermédiaires du commerce en bois et matériaux de construction;G
4614Z;Intermédiaires du commerce en machines, équipements industriels, navires et avions;G
4615Z;Intermédiaires du commerce en meubles, articles de ménage et quincaillerie;G
4616Z;Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir;G
4617A;Centrales d'achat alimentaires;G
4617B;Autres intermédiaires du commerce en denrées, boissons et tabac;G
4618Z;Intermédiaires spécialisés dans le commerce d'autres produits spécifiques;G
4619A;Centrales d'achat non alimentaires;G
4619B;Autres intermédiaires du commerce en produits divers;G
4621Z;Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail;G
4622Z;Commerce de gros (commerce interentreprises) de fleurs et plantes;G
4623Z;Commerce de gros (commerce interentreprises) d'animaux vivants;G
4624Z;Commerce de gros (commerce interentreprises) de cuirs et peaux;G
4631Z;Commerce de gros (commerce interentreprises) de fruits et légumes;G
4632A;Commerce de gros (commerce interentreprises) de viandes de boucherie;G
4632B;Commerce de gros (commerce interentreprises) de produits à base de viande;G
4632C;Commerce de gros (commerce interentreprises) de volailles et gibier;G
4633Z;Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles;G
4634Z;Commerce de gros (commerce interentreprises) de boissons;G
4635Z;Commerce de gros (commerce interentreprises) de produits à base de tabac;G
4636Z;Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie;G
4637Z;Commerce de gros (commerce interentreprises) de café, thé, cacao et épices;G
4638A;Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques;G
4638B;Commerce de gros (commerce interentreprises) alimentaire spécialisé divers;G
4639A;Commerce de gros (commerce interentreprises) de produits surgelés;G
4639B;Commerce de gros (commerce interentreprises) alimentaire non spécialisé;G
4641Z;Commerce de gros (commerce interentreprises) de textiles;G
4642Z;Commerce de gros (commerce interentreprises) d'habillement et de chaussures;G
4643Z;Commerce de gros (commerce interentreprises) d'appareils électroménagers;G
4644Z;Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien;G
4645Z;Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté;G
4646Z;Commerce de gros (commerce interentreprises) de produits pharmaceutiques;G
4647Z;Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage;G
4648Z;Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie;G
4649Z;Commerce de gros (commerce interentreprises) d'autres biens domestiques;G
4651Z;Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels;G
4652Z;Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication;G
4661Z;Commerce de gros (commerce interentreprises) de matériel agricole;G
4662Z;Commerce de gros (commerce interentreprises) de machines-outils;G
4663Z;Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil;G
4664Z;Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement;G
4665Z;Commerce de gros (commerce interentreprises) de mobilier de bureau;G
4666Z;Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau;G
4669A;Commerce de gros (commerce interentreprises) de matériel électrique;G
4669B;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers;G
4669C;Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services;G
4671Z;Commerce de gros (commerce interentreprises) de combustibles et de produits annexes;G
4672Z;Commerce de gros (commerce interentreprises) de minerais et métaux;G
4673A;Commerce de gros (commerce interentreprises) de bois et de matériaux de construction;G
4673B;Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration;G
4674A;Commerce de gros (commerce interentreprises) de quincaillerie;G
4674B;Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage;G
4675Z;Commerce de gros (commerce interentreprises) de produits chimiques;G
4676Z;Commerce de gros (commerce interentreprises) d'autres produits intermédiaires;G
4677Z;Commerce de gros (commerce interentreprises) de déchets et débris;G
4690Z;Commerce de gros (commerce interentreprises) non spécialisé;G
4711A;Commerce de détail de produits surgelés;G
4711B;Commerce d'alimentation générale;G
4711C;Supérettes;G
4711D;Supermarchés;G
4711E;Magasins multi-commerces;G
4711F;Hypermarchés;G
4719A;Grands magasins;G
