source;target;weight
2740;4647;1
2740;4669;1
2740;7010;1
2740;7112;1
2740;7311;1
2740;7410;2
2740;9002;1
2751;2813;1
2751;2931;1
2751;4643;1
2752;3314;1
2752;3320;1
2752;4759;1
2790;2599;1
2790;2611;2
2790;2612;1
2790;2660;1
2790;2711;2
2790;2732;1
2790;2740;1
2790;2751;1
2790;2830;1
2790;3320;3
2790;4211;1
2790;4321;1
2790;4329;1
2790;4669;1
2790;4791;1
2790;6110;1
2790;6202;1
2811;2651;1
2811;2815;1
2811;3312;1
2811;3314;1
2811;4321;1
2811;4669;3
2811;7112;1
2812;2562;1
2812;2814;1
2812;2822;1
2812;2920;1
2812;3312;2
2812;3320;1
2812;4221;1
2812;4332;1
2812;4619;1
2812;4669;2
2813;2511;1
2813;2815;1
2813;3312;3
2814;2454;1
2814;3320;1
2814;4674;1
2815;3320;1
2815;4669;1
2821;3312;1
2821;7112;1
2822;2511;1
2822;2830;1
2822;3312;8
2822;3320;4
2822;4329;3
2822;4520;1
2822;4669;4
2822;4669;1
2822;4759;1
2822;6420;1
2822;7022;1
2822;7739;2
2825;2599;2
2825;2712;1
2825;2920;1
2825;3312;7
2825;3320;1
2825;3320;18
2825;4322;4
2825;4669;2
2825;6820;1
2825;7112;1
2829;2899;1
2829;3312;2
2829;3320;1
2829;4669;2
2829;8299;1
2829;1396;1
2829;2511;1
2829;2550;1
2829;2822;1
2829;2829;1
2829;2893;1
2829;2899;3
2829;3312;5
2829;3320;1
2829;3320;4
2829;4669;2
2829;4669;2
2829;7010;1
2829;7490;1
2830;2550;1
2830;2550;1
2830;2822;2
2830;2920;1
2830;3312;2
2830;3320;1
2830;3320;1
2830;4661;1
2830;4674;1
2830;7490;1
2841;0220;1
2841;2229;1
2841;2562;1
2841;2790;1
2841;2849;1
2841;3312;4
2841;3320;1
2841;4662;1
2841;4669;1
2841;6630;1
2841;7112;1
2849;2899;2
2849;3312;1
2892;1623;1
2892;2812;1
2892;2829;1
2892;3320;1
2892;4663;1
2892;7732;1
2893;2433;1
2893;2512;1
2893;2599;1
2893;2829;1
2893;3101;1
2893;3312;4
2893;3320;2
2893;3320;2
2894;1392;1
2894;2899;1
2894;6820;1
2896;2899;1
2899;4669;1
2899;2562;3
2899;2573;1
2899;2611;1
2899;2660;1
2899;2822;1
2899;2825;1
2899;2829;1
2899;2830;1
2899;2841;3
2899;2892;1
2899;2893;1
2899;7112;1
2899;8129;1
2910;2920;4
2910;4511;3
2910;4519;1
2910;4520;2
2910;9329;1
2920;1392;1
2920;2529;1
2920;2599;1
2920;2910;1
2920;2932;1
2920;3312;1
2920;4511;1
2920;4520;3
2920;4520;5
2920;4669;1
2920;4672;1
2920;6420;1
2920;7022;1
2931;2740;1
2931;4531;3
2931;4669;1
2932;2562;1
2932;2572;1
2932;2920;2
2932;3109;1
2932;4339;1
2932;4531;2
2932;4661;1
2932;7010;1
3011;2511;1
3011;2732;1
3011;3012;1
3011;3315;2
3011;4669;1
3011;5020;2
3011;7010;1
3012;2229;1
3012;2815;1
3012;3011;2
3012;3315;2
3012;4399;1
3012;4649;1
3020;3317;1
3030;7112;2
3092;3230;1
3092;4649;1
3099;6820;1
3101;1623;2
3101;3109;5
3101;4329;1
3101;4332;1
3101;4332;1
3101;4649;1
3101;4759;1
3102;3109;8
3102;4332;3
3102;4759;2
3109;1392;1
3109;3101;1
3109;3109;1
3109;1392;1
3109;1623;11
3109;1629;1
3109;1812;1
3109;2370;1
3109;2920;1
3109;3101;22
3109;3102;6
3109;4120;1
3109;4312;1
3109;4332;13
3109;4332;3
3109;4332;2
3109;4391;1
3109;4540;1
3109;4647;3
3109;4673;1
3109;4674;1
3109;4759;2
3109;4759;2
3109;4779;2
3109;4941;1
3109;5520;1
3109;5920;1
3109;6820;1
3109;7111;1
3109;7410;1
3109;7729;1
3109;7732;1
3109;8299;2
3109;9003;1
3109;9524;4
3212;3213;2
3212;4648;1
3212;4777;3
3213;1419;1
3213;2319;1
3213;3212;1
3213;3250;1
3213;4648;1
3213;4649;1
3213;4711;1
3213;4771;1
3213;4777;2
3213;4778;4
3213;4791;1
3220;3319;3
3220;4669;1
3220;9529;3
3230;2223;1
